=========================================
== CST Matrix Calculation Priority Log ==
=========================================
Priorities are sorted in ascending order beginning with the lowest priority
 
Group | Shape-ID | ShapeName | Material | User-priority | 2D/3D-Geometry | Material-attributes | Shape-attributes | Feature-ID | Schemetype
1 | 9 | </cst/Boundaries/> Low^X | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 10 | </cst/Boundaries/> Low^Y | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 11 | </cst/Boundaries/> Low^Z | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 12 | </cst/Boundaries/> Up^X | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 13 | </cst/Boundaries/> Up^Y | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 14 | </cst/Boundaries/> Up^Z | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
2 | 15 | </cst/Ports/> discrete_face_port:1^t0 | Aluminum | n/a | no | pec.rho.surface-impedance. | face-element.face-port.sheet. | n/a | FIT_TD
2 | 16 | </cst/Ports/> discrete_face_port:1^t1 | Aluminum | n/a | no | pec.rho.surface-impedance. | face-element.face-port.sheet. | n/a | FIT_TD
3 | 1 | component1:sat | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
3 | 2 | component1:solid1 | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
3 | 3 | component1:solid1_1 | Steel-1008 | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
3 | 4 | component1:solid1_2 | Steel-1008 | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
3 | 5 | component1:solid2 | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
3 | 6 | component1:solid3 | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
3 | 8 | component1:solid3 (Lump 2) | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
4 | 7 | discrete_face_port:1 | PEC | n/a | yes | pec. | face-center-gap.face-element.face-port.sheet. | n/a | FIT_TD
=========================================
